page,level,name_zh,name_en,poisoning_chapter19,accidental,intentional_self_harm,undetermined_intent,treatment_adverse_effect
1573,0,1-丙醇,1-Propanol,T51.3,X45.-,X65.-,Y15.-,
1573,0,1-二氨基-8-二-精氨酸-加压素,DDAVP,T38.8,X44.-,X64.-,Y14.-,Y42.8
1573,0,1605(农药)-现译名 对硫磷,Thiofos,T60.0,X48.-,X68.-,Y18.-,Y56.0
1573,0,2-甲-4氯丙酸,Mecoprop,T60.3,X48.-,X68.-,Y18.-,
1573,0,2-甲氧乙醇,2-Methoxyethanol,T52.3,X46.-,X66.-,Y16.-,
1573,0,2-脱氧-5-氟尿苷,2-Deoxy-5-fluorouridine,T45.1,X44.-,X64.-,Y14.-,Y43.1
1573,0,2-氧基乙醇,2-Ethoxyethanol,T52.3,X46.-,X66.-,Y16.-,
1573,0,"2,3-丁基-4-羟基茴香醚",BHA,T50.9,X44.-,X64.-,Y14.-,Y57.4
1573,0,"2,3,7,8-四氯化二苯-对二噁英","2,3,7,8-Tetrachlorodibenzo-",T53.7,X46.-,X66.-,Y16.-,
1573,0,"2,4-二氯苯氧乙酸","2,4-Dichlorophenoxyacetic",T60.3,X48.-,X68.-,Y18.-,
1573,0,"2,4,5-三氯苯氧乙酸","2,4,5-T",T60.3,X48.-,X68.-,Y18.-,
1573,0,3-甲基苯乙妥因 - 现译名,Phenantoin,T42.0,X41.-,X61.-,Y11.-,Y46.2
1573,0,"3,3'-二氯联苯胺",Dichlorbenzidine,T65.3,X49.-,X69.-,Y19.-,
1573,0,4-氨基苯酚衍生物,4-Aminophenol derivatives,T39.1,X40.-,X60.-,Y10.-,Y45.5
1573,0,4-氨基丁酸,4-Aminobutyric acid,T43.8,X41.-,X61.-,Y11.-,Y49.8
1573,0,4-羟丁酸钠,Oxybate sodium,T41.2,X44.-,X64.-,Y14.-,Y48.2
1573,0,5-甲氧沙林,5-Methoxypsoralen (5-MOP),T50.9,X44.-,X64.-,Y14.-,Y57.8
